gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d000002	1	mu1083042	UFMu-10403	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000004	1	mu1030708	UFMu-02642	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000005	7	mu1013179|mu1013179|mu1050578|mu1070874|mu1083041|mu1089648|mu1089649	UFMu-02201|UFMu-05485|UFMu-06420|UFMu-02628|UFMu-10388,UFMu-11113|UFMu-11982|UFMu-13835	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	5_prime_UTR_variant
Zm00001d000011	1	mu1050302	UFMu-06464	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000023	3	mu1047043|mu1047044|mu1082276	UFMu-06276|UFMu-06408|UFMu-09457,UFMu-09994	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000027	2	mu1037544|mu1055474	UFMu-04157|UFMu-07172	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000029	4	mu1031289|mu1034701|mu1054647|mu1093665	UFMu-02848,UFMu-03490,UFMu-07270|UFMu-03254|UFMu-06784|UFMu-11235	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	stop_gained
Zm00001d000030	2	mu1040156|mu1058077	UFMu-04109,UFMu-04418,UFMu-05380,UFMu-06584|UFMu-07239	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000034	4	mu1016513|mu1016513|mu1049870|mu1068755	UFMu-02196,UFMu-03455|UFMu-06305,UFMu-07569,UFMu-08004|UFMu-06282|UFMu-08597	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000038	6	mu1008257|mu1049869|mu1054645|mu1068754|mu1080143|mu1093662	UFMu-00281,UFMu-01015|UFMu-06455|UFMu-06686|UFMu-08361|UFMu-09139|UFMu-12035	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d000039	2	mu1029866|mu1078834	UFMu-02877|UFMu-09026	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000040	1	mu1041897	UFMu-04648	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	stop_lost
Zm00001d000042	9	mu1040154|mu1040155|mu1050696|mu1054643|mu1061243|mu1080142|mu1087358|mu1093659|mu1093660	UFMu-03700,UFMu-04886|UFMu-03270,UFMu-04886,UFMu-05383|UFMu-06453|UFMu-06863|UFMu-08162|UFMu-09345,UFMu-10379|UFMu-11085|UFMu-11434|UFMu-11159	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	frameshift_variant
Zm00001d000045	2	mu1016510|mu1040153	UFMu-01558,UFMu-10832,UFMu-12110,UFMu-13360,UFMu-13669|UFMu-04164	2	Trihelix	46	1	1/46	TRUE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000046	6	mu1016509|mu1054641|mu1054641|mu1054642|mu1081993|mu1088157	UFMu-01558|UFMu-06756|UFMu-09986|UFMu-06716|UFMu-09464|UFMu-10994	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	5_prime_UTR_variant
Zm00001d000052	1	mu1068750	UFMu-08561	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	5_prime_UTR_variant
Zm00001d000053	5	mu1017392|mu1017392|mu1040151|mu1040152|mu1058072	UFMu-01026,UFMu-02353|UFMu-04994,UFMu-05579|UFMu-02921|UFMu-04179|UFMu-07137	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000065	1	mu1019564	UFMu-00717	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000071	1	mu1081797	UFMu-09600	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d000072	1	mu1023488	UFMu-02263	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d000074	1	mu1059660	UFMu-07791,UFMu-13183	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	3_prime_UTR_variant
Zm00001d000076	3	mu1047748|mu1070249|mu1090704	UFMu-06124|UFMu-02555|UFMu-12275	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000080	5	mu1014569|mu1034740|mu1047881|mu1071801|mu1087820	UFMu-00675,UFMu-01231,UFMu-10563,UFMu-11001,UFMu-11688|UFMu-03492|UFMu-06322|UFMu-01863|UFMu-11114	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d000085	1	mu1032998	UFMu-03253	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000087	2	mu1029031|mu1090704	UFMu-02555|UFMu-12275	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000096	4	mu1039748|mu1041118|mu1065366|mu1073678	UFMu-04042|UFMu-04635|UFMu-00867|UFMu-04791	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000099	3	mu1006571|mu1051064|mu1084795	UFMu-00434|UFMu-06523|UFMu-10402	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000116	2	mu1038606|mu1041199	UFMu-02730|UFMu-04765	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000122	5	mu1032615|mu1032615|mu1070984|mu1076791|mu1090360	UFMu-02557|UFMu-11257|UFMu-02510|UFMu-09101|UFMu-13149	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	disruptive_inframe_insertion
Zm00001d000123	4	mu1044859|mu1052522|mu1076790|mu1086027	UFMu-05547|UFMu-06551,UFMu-09479,UFMu-10620,UFMu-11262|UFMu-09012|UFMu-11119	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000126	1	mu1090358	UFMu-12267	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	conservative_inframe_deletion
Zm00001d000135	1	mu1034861	UFMu-03291	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000150	1	mu1004245	UFMu-00253	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	3_prime_UTR_variant
Zm00001d000152	4	mu1004406|mu1029031|mu1038257|mu1069377	UFMu-00214|UFMu-02555|UFMu-03722|UFMu-08760,UFMu-09464	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000153	1	mu1077116	UFMu-09252	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000156	1	mu1077115	UFMu-09031	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000160	1	mu1045169	UFMu-05698	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000168	3	mu1019694|mu1030136|mu1077244	UFMu-01110|UFMu-02845|UFMu-08988	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000169	4	mu1043230|mu1056426|mu1067150|mu1073960	UFMu-04886|UFMu-07375|UFMu-08586|UFMu-04595	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000170	3	mu1059724|mu1069420|mu1086331	UFMu-07768|UFMu-08819|UFMu-10963	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000178	5	mu1049874|mu1078835|mu1093671|mu1093672|mu1095539	UFMu-06185|UFMu-09389|UFMu-12396|UFMu-11329|UFMu-13808	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000179	1	mu1009911	UFMu-00252	1	ERF	177	1	1/177	TRUE	NA	NA	mRNA	no_change	NA
